,id,title,specs,author,link
26,ILLU_10655_617_0,"
            Music in the Tuileries Gardens
          ","
            Oil on canvas | 76.2 x 118.1cm | 1862
          ","
      Edouard Manet
    ",https://www.nationalgallery.org.uk/paintings/edouard-manet-music-in-the-tuileries-gardens
27,ILLU_10663_93_0,"
            Still Life with Bread and Eggs
          ","
            Oil on canvas | 59 x 76cm | 1865
          ","
      Paul Cézanne
    ",
28,ILLU_10664_350_0,"
            The Moret Bridge at Sunset
          ","
            Oil on canvas | 60 x 73cm | 1892
          ","
      Alfred Sisley
    ",
29,ILLU_10670_181_0,"
            The Dancer
          ","
            Oil on canvas | 142.5 x 94.5cm | 1874
          ","
      Auguste Renoir
    ",https://www.nga.gov/collection/art-object-page.1211.html
30,ILLU_10670_188_0,"
            Singer in Green
          ","
            Pastel on paper | 58.4 x 45.7cm | 1884
          ","
      Edgar Degas
    ",
31,ILLU_10670_206_0,"
            The Print Collector
          ","
            Oil on cradled panel | 8 x 13in | c. 1857/63
          ","
      Honoré-Victorin Daumier
    ",
32,ILLU_10677_64_0,"
            Mademoiselle V. . . in the Costume of an Espada
          ","
            Oil on canvas | 165.1 x 127.6cm | 1862
          ","
      Edouard Manet
    ",https://www.metmuseum.org/art/collection/search/436945
33,ILLU_10709_97_0,"
            The House of Père Eloi
          ","
            Oil on canvas | 51 x 58cm | 1890
          ","
      Vincent van Gogh
    ",https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Das_Haus_von_P%C3%A8re_Eloi.jpeg
34,ILLU_10725_396_0,"
            The Banks of the Seine at Argenteuil
          ","
            Oil on canvas | 63.2 x 103cm | 1874
          ","
      Édouard Manet
    ",
35,ILLU_10754_263_0,"
            At the Opera: Madame Caron in Faust
          ","
            Lithograph, 16/100 | 36.2 x 26.4cm | 1894
          ","
      Henri de Toulouse-Lautrec
    ",https://art.nelson-atkins.org/objects/7387/at-the-opera-madame-caron-in-faust
36,ILLU_10933_88_0,"
            Still Life with Apples
          ","
            Oil on canvas | 65.4 x 81.6cm | 1893-1894
          ","
      Paul Cézanne
    ",https://www.getty.edu/art/collection/objects/102380/paul-cezanne-still-life-with-apples-french-1893-1894/
37,ILLU_10939_99_0,"
            Champ de blé avec cyprès
          ","
            Huile sur toile | 72.1 x 90.9cm | 1889
          ","
      Vincent van Gogh
    ",https://www.nationalgallery.org.uk/paintings/vincent-van-gogh-a-wheatfield-with-cypresses
38,ILLU_10945_332_0,"
            Claude Monet painting in his studio
          ","
            Oil on canvas | 80 x 98cm | 1874
          ","
      Édouard Manet
    ",https://commons.wikimedia.org/wiki/File:Monet_Painting_on_His_Studio_Boat_Edouard_Manet_1874.jpg
39,ILLU_10955_69_0,"
            Portrait&nbsp;of&nbsp;the couple&nbsp;Sisley
          ","
            Oil on canvas | 75 x 105cm | 1868
          ","
      Auguste Renoir
    ",
40,ILLU_10962_306_0,"
            Esterházykeller in Vienna
          ","
            Oil on canvas | 22 x 28.5cm | 1871
          ","
      Adolph of Menzel
    ",https://sammlung.belvedere.at/objects/817/der-esterhazykeller-in-wien
41,ILLU_10962_308_0,"
            Dancer
          ","
            Oil on wood | 26 x 20.5cm | undated
          ","
      Josef Navrátil
    ",https://sammlung.belvedere.at/objects/789/tanzerin
42,ILLU_10962_309_0,"
            Militia Officer
          ","
            Oil on canvas | 65 x 52cm | 1872
          ","
      Wilhelm Trübner
    ",https://sammlung.belvedere.at/objects/204/landwehroffizier
43,ILLU_10964_371_0,"
            Etching
          ","
            
          ","
      Charles Meryon
    ",
44,ILLU_10976_216_0,"
            The Olive Trees
          ","
            Oil on canvas | 72.7 x 91.4cm | Saint Rémy, June-July 1889
          ","
      Vincent van Gogh
    ",
45,ILLU_11224_163_0,"
            The Village Girl with a Goatling
          ","
            81 x 65cm | 1860
          ","
      Gustave Courbet
    ",
46,ILLU_11246_763_0,"
            Portrait of Dr. Gachet
          ","
            Oil on canvas | 67 x 56cm
          ","
      Vincent van Gogh
    ",https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Bildnis_Doktor_Gachet.jpeg
47,ILLU_11281_301_0,"
            Field with Poppies
          ","
            Oil on canvas | 72 x 91cm | Saint-rémy, early
          ","
      Vincent van Gogh
    ",https://commons.wikimedia.org/wiki/File:Vincent_van_Gogh_-_Field_with_Poppies_(1889).jpg
48,ILLU_11283_361_0,"
            Boulevard Montmartre, Spring
          ","
            Oil on canvas | 46 x 55cm | 1897
          ","
      Camille Pissarro
    ",
49,ILLU_11284_641_1,"
            Le Pont Saint-Michel et le Quai des Grands Augustins
          ","
            1912
          ","
      Albert Marquet
    ",https://commons.wikimedia.org/wiki/File:The_Pont_Saint-Michel_and_the_Quai_des_Grands_Augustins_Albert_Marquet_%281912%29.jpg?uselang=fr
50,ILLU_11290_323_0,"
            En bateau
          ","
            Huile sur toile | 97.2 x 130.2cm | 1874
          ","
      Edouard Manet
    ",https://www.metmuseum.org/art/collection/search/436947
51,ILLU_11290_37_0,"
            La Chanteuse de rue
          ","
            Huile sur toile | 174 x 118cm | 1862
          ","
      Édouard Manet
    ",https://fr.wikipedia.org/wiki/La_Chanteuse_de_rue
52,ILLU_11290_411_0,"
            Le Balcon
          ","
            Huile sur toile | 170 x 124.5cm | 1868-1869
          ","
      Édouard Manet
    ",https://en.wikipedia.org/wiki/The_Balcony_(painting)
53,ILLU_11291_64_0,"
            Windmill at Zaandam
          ","
            1871
          ","
      Claude Monet
    ",
54,ILLU_11305_396_0,"
            Ile de France Landscape
          ","
            1880
          ","
      Paul Cézanne
    ",
55,ILLU_11305_409_0,"
            Resting Cows
          ","
            1911
          ","
      Franz Marc
    ",
56,ILLU_11307_542_0,"
            Madame de Pastoret and Her Son
          ","
            Oil on canvas | 129.8 x 96.6cm | 1791/92
          ","
      Jacques Louis David
    ",
57,ILLU_11312_261_0,"
            Bathers with a Turtle
          ","
            Oil on canvas | 179.1 x 220.3cm | 1908
          ","
      Henri Matisse
    ",
58,ILLU_11314_390_0,"
            Portrait of the countess pourtales
          ","
            1877
          ","
      Auguste Renoir
    ",
59,ILLU_11317_594_0,"
            Wood Gatherer, Figure Study
          ","
            Watercolor on paper | 1884
          ","
      Vincent van Gogh
    ",
60,ILLU_11340_630_2,"
            Les Mangeurs de pommes de terre
          ","
            Huile sur toile | 82 x 114cm | 1885
          ","
      Vincent van Gogh
    ",https://en.wikipedia.org/wiki/The_Potato_Eaters
61,ILLU_11340_643_0,"
            Street in Saintes-Maries
          ","
            Ink on paper | 30.5 x 47cm | 1888
          ","
      Vincent van Gogh
    ",
62,ILLU_11340_648_0,"
            Farmhouse with Two Figures
          ","
            Oil on canvas | 45 x 38cm | 1890
          ","
      Vincent van Gogh
    ",
63,ILLU_11340_652_0,"
            Still Life: Potatoes in a Yellow Dish
          ","
            Oil on canvas | 39 x 47cm | 1888
          ","
      Vincent van Gogh
    ",https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Stillleben_mit_Kartoffeln_in_gelber_Sch%C3%BCssel.jpeg
64,ILLU_11349_230_1,"
            Spanish Woman With Tambourine
          ","
            Oil on canvas | 92 x 73cm | 1909
          ","
      Henri Matisse
    ",https://pushkinmuseum.art/?lang=en
65,ILLU_11363_113_1,"
            Pierrot and Harlequin
          ","
            Oil on canvas | 102 x 81cm | c. 1888
          ","
      Paul Cézanne
    ",
66,ILLU_11363_117_1,"
            Portrait of Doctor Rey
          ","
            Oil on canvas | 64 x 53cm | 1889
          ","
      Vincent van Gogh
    ",http://www.arts-museum.ru/
67,ILLU_11363_119_2,"
            Painter's Family
          ","
            Oil on canvas | 143 x 194cm | 1911
          ","
      Henri Matisse
    ",https://www.hermitagemuseum.org/wps/portal/hermitage/digital-collection/01.+paintings/28469
68,ILLU_11363_120_2,"
            Old blind man with boy
          ","
            Oil on canvas | 125 x 92cm | 1903
          ","
      Pablo Picasso
    ",
69,ILLU_11363_25_1,"
            Portrait of a Woman
          ","
            
          ","
      Auguste Renoir
    ",
70,ILLU_11379_93_0,"
            Young Woman in Oriental Garb
          ","
            Oil on canvas | 95.5 x 74.5cm | 1871
          ","
      Édouard Manet
    ",
71,ILLU_11387_383_1,"
            Seated Odalisque
          ","
            1928
          ","
      Henri Matisse
    ",
72,ILLU_11388_397_0,"
            Hillside in Provence
          ","
            Oil on canvas | 63.5 x 79.4cm | c. 1890-2
          ","
      Paul Cézanne
    ",https://www.nationalgallery.org.uk/paintings/paul-cezanne-hillside-in-provence
73,ILLU_11389_622_1,"
            Painting of an interior at rue Carcel (Carcel Street), Paris
          ","
            Oil on canvas | 130 x 162cm | 1881
          ","
      Paul Gauguin
    ","https://commons.wikimedia.org/wiki/File:Paul_Gauguin,_Interieur_du_peintre_Paris,_rue_Carcel_(1881)_-_01.jpg"
74,ILLU_11400_638_1,"
            Arlésiennes (Mistral)
          ","
            Oil on jute canvas | 73 x 92cm | 1888
          ","
      Paul Gauguin
    ",
75,ILLU_11402_779_0,"
            Odalisque with Slave
          ","
            Oil on canvas | 76 x 105cm | 1842
          ","
      Jean-Auguste-Dominique Ingres
    ",https://commons.wikimedia.org/wiki/File:Jean-Paul_Flandrin_-_Odalisque_with_Slave_-_Walters_37887.jpg
76,ILLU_11402_783_0,"
            La baigneuse, dite Baigneuse Valpinçon
          ","
            Huile sur toile | 1.46 x 0.97m | 1808
          ","
      Jean-Auguste-Dominique Ingres
    ",https://donate.louvre.fr/particuliers/~mon-don
77,ILLU_11412_1003_2,"
            Still Life with Vegetables
          ","
            Oil on canvas | 38.4 x 46cm | c. 1905
          ","
      Henri Matisse
    ",https://www.metmuseum.org/art/collection/search/489991
78,ILLU_11412_1003_3,"
            Domino Players
          ","
            1921
          ","
      Henri Matisse
    ",
79,ILLU_11412_1008_0,"
            Nude
          ","
            1920
          ","
      Henri Matisse
    ",
80,ILLU_11426_368_0,"
            Clair de lune sur le port de Boulogne
          ","
            Huile sur toile | 82 x 101cm | 1869
          ","
      Édouard Manet
    ",https://fr.wikipedia.org/wiki/Clair_de_lune_sur_le_port_de_Boulogne
81,ILLU_11426_373_0,"
            Le Défilé
          ","
            Mixed media canvas | 46 x 61cm | 1866-1868
          ","
      Edgar Degas
    ",https://commons.wikimedia.org/wiki/File:Edgar_Germain_Hilaire_Degas_040.jpg?uselang=fr
82,ILLU_11426_374_1,"
            La Maison du pendu, Auvers-sur-Oise
          ","
            Huile sur toile | 55.5 x 66.3cm | 1873
          ","
      Paul Cézanne
    ",https://commons.wikimedia.org/wiki/File:La_Maison_du_pendu_Auvers-sur-Oise_-_Paul_C%C3%A9zanne.jpg
83,ILLU_11432_236_1,"
            Circus Sideshow (Parade de cirque)
          ","
            Oil on canvas | 99.7 x 149.9cm | 1887-88
          ","
      Georges Seurat
    ",https://www.metmuseum.org/art/collection/search/437654
84,ILLU_11457_139_0,"
            A February Morning at Moret sur Loing
          ","
            Oil on canvas | 50 x 65cm | 1881
          ","
      Alfred Sisley
    ",
85,ILLU_11458_228_0,"
            Jeunes filles au piano
          ","
            116 x 81cm | 1892
          ","
      Pierre-Auguste Renoir
    ",https://commons.wikimedia.org/wiki/File:Renoir_jeunes_filles_au_piano_vers_1892.jpg?uselang=fr
86,ILLU_11458_230_0,"
            Portrait of Jeanne Hébuterne
          ","
            Oil on canvas | 923 x 545mm | 1919
          ","
      Amedeo Modigliani
    ",https://commons.wikimedia.org/wiki/File:Amedeo_Modigliani_-_Portrait_of_Jeanne_H%C3%A9buterne_-_Google_Art_Project.jpg
87,ILLU_11463_108_0,"
            A Centennial of Independence
          ","
            Oil on canvas | 111.8 x 158.1cm | 1892
          ","
      Henri Rousseau
    ",https://www.getty.edu/art/collection/objects/816/henri-rousseau-a-centennial-of-independence-french-1892/
88,ILLU_11463_113_0,"
            The Merry Jesters
          ","
            Oil on canvas | 145.7 x 113.3cm | 1906
          ","
      Henri Rousseau
    ",https://commons.wikimedia.org/wiki/File:Henri_Rousseau_-_The_Merry_Jesters.jpg
89,ILLU_11478_131_0,"
            Chestnut Tree and Farm
          ","
            Oil on canvas | 65.5 x 81.3cm | 1885
          ","
      Paul Cézanne
    ",
90,ILLU_11480_311_0,"
            Lise on the Bank of the Seine
          ","
            Oil | 184 x 115cm | 1870
          ","
      Auguste Renoir
    ",
91,ILLU_11487_73_0,"
            Portrait Of A Girl
          ","
            Charcoal on paper | 1515
          ","
      Albrecht Dürer
    ",
92,ILLU_11491_211_0,"
            A Young Girl with a Black Overall
          ","
            Oil on canvas | 92.5 x 60.5cm | 1918
          ","
      Amedeo Modigliani
    ",
93,ILLU_11502_292_0,"
            Tropical Forest with Monkeys
          ","
            Oil on canvas | 129.5 x 162.5cm | 1910
          ","
      Henri Rousseau
    ",https://www.nga.gov/collection/art-object-page.61253.html
94,ILLU_11507_467_0,"
            Woman with Red Hair
          ","
            Oil on canvas | 92.1 x 60.7cm | 1917
          ","
      Amedeo Modigliani
    ",https://www.nga.gov/collection/art-object-page.46651.html
95,ILLU_11518_32_0,"
            portrait de Stéphane Mallarmé
          ","
            Huile sur toile | 270 x 360mm | 1876
          ","
      Édouard Manet
    ",https://fr.wikipedia.org/wiki/Portrait_de_St%C3%A9phane_Mallarm%C3%A9_(Manet)
96,ILLU_11529_229_0,"
            Portrait de l'artist
          ","
            Huile sur toile | 64 x 53cm | 1875
          ","
      Paul Cézanne
    ",https://commons.wikimedia.org/wiki/File:Portrait_de_l%27artiste%2C_par_Paul_C%C3%A9zanne%2C_FWN_434.jpg?uselang=fr
97,ILLU_11532_331_3,"
            The Crucifixion
          ","
            Tempera on panel | 75 x 55.2cm | c. 1487
          ","
      Carlo Crivelli
    ",
98,ILLU_11543_181_0,"
            Portrait de M. et Mme Auguste Manet
          ","
            Huile sur toile | 111.5 x 93cm | 1860
          ","
      Édouard Manet
    ",https://fr.wikipedia.org/wiki/Portrait_de_M._et_Mme_Auguste_Manet
99,ILLU_11543_182_0,"
            Young Man in the Costume of a Majo
          ","
            Oil on canvas | 188 x 124.8cm | 1863
          ","
      Edouard Manet
    ",https://www.metmuseum.org/art/collection/search/438819
100,ILLU_11543_184_0,"
            The grand canal of Venice (Blue Venice)
          ","
            Oil on canvas | 54 x 65cm | 1875
          ","
      Édouard Manet
    ",
101,ILLU_11558_101_0,"
            La Carriole du père Junier
          ","
            970 x 1290mm | 1908
          ","
      Henri Rousseau
    ",https://commons.wikimedia.org/wiki/File:Henri-Julien_F%C3%A9lix_Rousseau_-_La_Carriole_du_P%C3%A8re_Junier.jpg?uselang=fr
102,ILLU_11568_290_0,"
            Woman in a Hat
          ","
            Oil on canvas | 58.9 x 49.9cm | 1920
          ","
      Henri Matisse
    ",
103,ILLU_11569_295_0,"
            St. Magdalene in the Desert
          ","
            Oil on canvas | 41 x 33cm | 1852
          ","
      Honoré Daumier
    ",
104,ILLU_11572_364_1,"
            L'Annonciation
          ","
            0.86 x 0.93m
          ","
      Rogier van der Weyden (atelier)
    ",https://donate.louvre.fr/particuliers/~mon-don
105,ILLU_11746_4014_2,"
            The Spreading Pine Tree in the Brühl Valley near Mödling
          ","
            Oil on canvas | 66 x 112cm | 1838
          ","
      Ludwig Ferdinand Schnorr von Carolsfeld
    ",https://sammlung.belvedere.at/objects/1964/die-breite-fohre-nachst-der-bruhl-bei-modling
106,ILLU_11883_55_0,"
            Mrs. Davies Davenport
          ","
            Oil on canvas | 76.5 x 64cm | 1782-1784
          ","
      George Romney
    ",https://www.nga.gov/collection/art-object-page.112.html
107,ILLU_11896_95_0,"
            Venus and the Lute Player
          ","
            Oil on canvas | 165.1 x 209.6cm | c. 1565-70
          ","
      Titian and Workshop
    ",https://www.metmuseum.org/art/collection/search/437827
108,ILLU_12182_209_2,"
            Les joueurs de Rugby
          ","
            
          ","
      André Lhote
    ",
109,ILLU_12198_3902_0,"
            The Bridge at Saint Cloud
          ","
            Oil on canvas | 1877
          ","
      Alfred Sisley
    ",
110,ILLU_12203_515209_0,"
            The Temptation of Christ on the Mountain
          ","
            Tempera on wood | 43 x 46cm | c. 1308
          ","
      Duccio
    ",https://commons.wikimedia.org/wiki/File:Duccio_-_The_Temptation_on_the_Mount.jpg
111,ILLU_12208_3603_0,"
            The boy with cherries
          ","
            Oil on canvas | 1858
          ","
      Édouard Manet
    ",https://commons.wikimedia.org/wiki/File:Boy_with_Cherries_Edouard_Manet.jpg
112,ILLU_12215_242503_0,"
            Woman with a shirt sitting in a chair
          ","
            1913
          ","
      Pablo Picasso
    ",
113,ILLU_12215_242503_2,"
            Jeune Fille devant un miroir
          ","
            Oil on canvas | 162.3 x 130.2cm | 1932
          ","
      Pablo Picasso
    ",
114,ILLU_12216_242502_0,"
            Musicians with masks
          ","
            Oil on canvas | 203.2 x 188cm | 1921
          ","
      Pablo Picasso
    ",
115,ILLU_12219_2802_0,"
            Portrait of Hendrickje Stoffels in silk wrap
          ","
            Oil on panel | 72.5 x 51.5cm | 1659
          ","
      Rembrandt
    ",https://commons.wikimedia.org/wiki/File:Rembrandt_-_Portrait_of_Hendrickje_Stoffels_-_Hendrickje_Stoffels_-_1659.jpg
116,ILLU_12226_3803_0,"
            Armor Chamber Fantasy
          ","
            1866
          ","
      Adolph Menzel
    ","https://commons.wikimedia.org/wiki/File:Adolf_Menzel_-_%22Armor_Chamber_Fantasy%22,_1866_-_Google_Art_Project.jpg"
117,ILLU_12331_99_1,"
            Riders on the beach
          ","
            Oil on canvas | 66 x 76cm | 1902
          ","
      Paul Gauguin
    ",
118,ILLU_12431_76_0,"
            Portrait of Paulo as Pierrot
          ","
            1929
          ","
      Pablo Picasso
    ",
119,ILLU_12431_78_0,"
            Woman with mandolin
          ","
            Oil on canvas | 130 x 97cm | 1925
          ","
      Pablo Picasso
    ",
120,ILLU_12443_356_0,"
            The Rooster
          ","
            Oil on canvas | 81 x 65cm | 1929
          ","
      Marc Chagall
    ",
121,ILLU_12443_359_0,"
            Lovers under lilies
          ","
            Oil on canvas | 101.6 x 76.2cm | 1925
          ","
      Marc Chagall
    ",
122,ILLU_12656_467_1,"
            The Bellelli Family
          ","
            Oil on canvas | 2000 x 2500mm | 1858-1869
          ","
      Edgar Degas
    ",https://en.wikipedia.org/wiki/The_Bellelli_Family
123,ILLU_12656_467_2,"
            L'Atelier de la rue de la Condamine
          ","
            Huile sur toile | 980 x 1280mm | 1870
          ","
      Édouard Manet
    ",https://fr.wikipedia.org/wiki/L'Atelier_de_Bazille
124,ILLU_12659_48_3,"
            Still life with skull, candle and book
          ","
            Oil on canvas | 1866
          ","
      Paul Cézanne
    ",
125,ILLU_12659_51_0,"
            Vase with Irises
          ","
            Oil on canvas | 92.1 x 73.7cm | 1890
          ","
      Vincent van Gogh
    ",
126,ILLU_12659_54_0,"
            Cypresses
          ","
            Oil on canvas | 93.4 x 74cm | 1889
          ","
      Vincent van Gogh
    ",https://www.metmuseum.org/art/collection/search/437980
127,ILLU_12668_32_0,"
            Portrait de l'artiste au fond rose
          ","
            Oil on canvas | c. 1875
          ","
      Paul Cézanne
    ",https://commons.wikimedia.org/wiki/File:Autoportrait_%28Paul_C%C3%A9zanne%29_Mus%C3%A9e_dOrsay_%283344594921%29.jpg
128,ILLU_12753_5002_2,"
            Morning
          ","
            Oil on canvas | 22 x 30.5cm | c. 1816
          ","
      Caspar David Friedrich
    ",https://commons.wikimedia.org/wiki/File:CDFriedrich-Am_Morgen_ausfahrende_Boote.jpg
129,ILLU_13074_291_0,"
            L'Arlésienne: Madame Joseph-Michel Ginoux (Marie Julien, 1848–1911)
          ","
            Oil on canvas | 91.4 x 73.7cm | 1888-89
          ","
      Vincent van Gogh
    ",https://www.metmuseum.org/art/collection/search/436529
130,ILLU_13084_314_0,"
            Bathing Place
          ","
            Oil on canvas | 60 x 73cm | 1886
          ","
      Paul Gauguin
    ",
131,ILLU_13298_74_0,"
            Domino Players
          ","
            1921
          ","
      Henri Matisse
    ",
132,ILLU_13315_384_0,"
            Young Smoking a Pipe
          ","
            1925
          ","
      Eugène Zak
    ",
133,ILLU_13332_335_0,"
            The Falconer (copy after Thomas Couture)
          ","
            Huile sur toile | 130.8 x 98.4cm
          ","
      Edward Harrison May
    ",https://commons.wikimedia.org/wiki/File:Edward_Harrison_May_-_The_Falconer_%28copy_after_Thomas_Couture%29_-_24.220_-_Museum_of_Fine_Arts.jpg?uselang=fr
134,ILLU_13395_79_0,"
            The Sorcerer of Hiva Oa (Marquesan Man in the Red Cape)
          ","
            Oil on canvas | 1902
          ","
      Paul Gauguin
    ",
135,ILLU_14257_293_1,"
            The Kiss
          ","
            Oil on canvas | 129 x 161.2cm | 1927
          ","
      Max Ernst
    ",
136,ILLU_14268_20_0,"
            The Promenade
          ","
            Oil on canvas | 81.3 x 64.8cm | 1870
          ","
      Pierre-Auguste Renoir
    ",https://www.getty.edu/art/collection/objects/823/pierre-auguste-renoir-the-promenade-french-1870/
137,ILLU_14275_400_0,"
            Still Life: The Table
          ","
            Oil on canvas | 81.3 x 130.8cm | 1928
          ","
      Georges Braque
    ",https://www.nga.gov/collection/art-object-page.46567.html
138,ILLU_14317_183_0,"
            The sculpture
          ","
            1925
          ","
      Pablo Picasso
    ",
139,ILLU_14319_404_0,"
            Pleiades
          ","
            Collage on paper | 25 x 18cm | 1920
          ","
      Max Ernst
    ",
140,ILLU_14351_140_2,"
            Odalisque
          ","
            1918
          ","
      Henri Matisse
    ",
141,ILLU_14369_168_0,"
            The Seated Zouave
          ","
            Oil on canvas | 81 x 65cm | 1888
          ","
      Vincent van Gogh
    ","https://commons.wikimedia.org/wiki/File:Van_Gogh_-_Der_Zuave,_sitzend.jpeg"
142,ILLU_14374_65_8,"
            The Blue House
          ","
            Oil on canvas | 66 x 96.8cm | 1917
          ","
      Marc Chagall
    ",
143,ILLU_14377_351_3,"
            Woman with Umbrella
          ","
            Oil on canvas | 1884
          ","
      Georges Seurat
    ",
144,ILLU_14405_32_0,"
            Gelmeroda IX
          ","
            1926
          ","
      Lyonel Feininger
    ",
145,ILLU_14458_224_0,"
            l'Enseigne de Gersaint
          ","
            Painting | 1720
          ","
      Jean-Antoine Watteau
    ",https://en.wikipedia.org/wiki/L'Enseigne_de_Gersaint
146,ILLU_14552_225_0,"
            The Promenader
          ","
            Photomechanical wood engraving on paper | 12.8 x 18.9cm | 1890
          ","
      Henry Wolf
    ",https://americanart.si.edu/artwork/promenader-40851
